35947082,FOREG27,359,47082,0,10,A9,2022,ACCI,1,264,
35947052,FOREG27,359,47052,18,30,B7,2022,ACCI,1,340,
35947459,FOREG27,359,47459,9,48,A6,2022,VAPA,1,247,POT HERBIVORY
35947473,FOREG27,359,47473,89,36,I7,2022,SYMO,1,395,
35947477,FOREG27,359,47477,71,21,H8,2022,SYMO,1,240,
35947487,FOREG27,359,47487,77,29,H8,2022,SYMO,1,295,
35947489,FOREG27,359,47489,89,82,I2,2022,VAPA,1,476,
35947448,FOREG27,359,47448,79,60,H4,2022,VAPA,1,405,"GROUND, BURIED"
35947498,FOREG27,359,47498,93,69,J4,2022,SYMO,1,279,
35947444,FOREG27,359,47444,61,69,G4,2022,VAPA,1,254,
35947479,FOREG27,359,47479,99,82,J2,2022,ACCI,1,789,
35947434,FOREG27,359,47434,45,43,E6,2022,SYMO,1,284,
35910331,FOREG27,359,10331,45,62,D4,2022,SYMO,1,131,
36047411,FOREG27,360,47411,13,9,B10,2022,BENE,1,49,
36047422,FOREG27,360,47422,40,28,E8,2022,BENE,1,58,
36047431,FOREG27,360,47431,5,25,A8,2022,BENE,1,72,
36010311,FOREG27,360,10311,5,25,A7,2022,BENE,1,72,
36147464,FOREG27,361,47464,92,100,J1,2022,BENE,1,303,"B, MAINSTEM BROKEN"
36147469,FOREG27,361,47469,81,73,I3,2022,BENE,1,311,STRESS
36147476,FOREG27,361,47476,48,73,E3,2022,BENE,1,317,
36147439,FOREG27,361,47439,88,81,I2,2022,BENE,1,31,STRESS
36147462,FOREG27,361,47462,91,66,J4,2022,BENE,1,274,
36147492,FOREG27,361,47492,31,84,C2,2022,BENE,1,308,
36147445,FOREG27,361,47445,16,85,B2,2022,BENE,1,147,
36147433,FOREG27,361,47433,83,50,I6,2022,RHMA,1,395,
36147490,FOREG27,361,47490,71,55,H5,2022,BENE,1,156,
36147471,FOREG27,361,47471,71,50,H5,2022,BENE,1,71,
36147470,FOREG27,361,47470,69,20,G8,2022,RHMA,1,251,
36148236,FOREG27,361,48236,80,30,I7,2022,BENE,1,64,
36147417,FOREG27,361,47417,84,9,I10,2022,BENE,1,98,
36147451,FOREG27,361,47451,68,19,G9,2022,BENE,1,260,
36147466,FOREG27,361,47466,61,9,G10,2022,RHMA,1,403,DOGLEG
36147456,FOREG27,361,47456,29,1,C10,2022,BENE,1,190,
36147474,FOREG27,361,47474,22,10,C9,2022,BENE,1,227,
36147468,FOREG27,361,47468,21,34,C7,2022,BENE,1,108,"LD, STRESS"
36147436,FOREG27,361,47436,25,13,C9,2022,ACCI,1,59,
36147450,FOREG27,361,47450,19,52,B5,2022,ACCI,1,81,
36112277,FOREG27,361,12277,45,91,E1,2022,TSHE,1,36,
36147447,FOREG27,361,47447,81,31,I7,2022,ACCI,1,63,
